STEP,POPULATION,HEALTHY,VACCINATED HEALTHY,UNVACCINATED HEALTHY,INFECTED,VACCINATED INFECTED,UNVACCINATED INFECTED,DEATHS FROM INFECTION,DEATHS VACCINATED,DEATHS UNVACCINATED
447,12714,8140,7500,640,4574,32,4542,2417,34,2383
448,12710,8130,7499,631,4580,33,4547,2421,34,2387
449,12709,8125,7498,627,4584,34,4550,2422,34,2388
450,12704,8138,7499,639,4566,33,4533,2427,34,2393
451,12700,8153,7496,657,4547,36,4511,2431,34,2397
452,12695,8128,7496,632,4567,36,4531,2436,34,2402
453,12690,8127,7498,629,4563,34,4529,2441,34,2407
454,12689,8129,7496,633,4560,36,4524,2442,34,2408
455,12688,8128,7495,633,4560,37,4523,2443,34,2409
456,12685,8151,7495,656,4534,37,4497,2446,34,2412
457,12683,8173,7496,677,4510,36,4474,2448,34,2414
458,12679,8135,7495,640,4544,37,4507,2452,34,2418
459,12676,8118,7493,625,4558,39,4519,2455,34,2421
460,12675,8151,7492,659,4524,40,4484,2456,34,2422
461,12671,8162,7494,668,4509,38,4471,2460,34,2426
462,12668,8170,7494,676,4498,38,4460,2463,34,2429
